Name,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Filename,Internal ID,Unique Entry ID,DataLabel
aqua tile flooring,No,No,900,225,Light blue,Light blue,,Nook's Cranny,,1.0.0,bathroom,facility,,Tile Floors,For sale,RoomTexFloorTile01,5036,JmNGqRhEow3PH7bgk,Tile
arabesque flooring,No,No,2120,530,Black,Gray,,Nook's Cranny,,1.0.0,expensive,living room,,Cloth Floors,For sale,RoomTexFloorArabesque00,4953,4dabyuetmZD5dDdCH,Gray
arched-brick flooring,No,No,1100,275,Brown,Brown,,Nook's Cranny,,1.0.0,facility,shop,,Arched Brick,For sale,RoomTexFloorArchBrick00,4998,CSPoYJzCnzWjqWrj5,Brown
argyle tile flooring,No,No,1750,437,White,Beige,,Nook's Cranny,,1.0.0,bathroom,facility,,Tile Floors,For sale,RoomTexFloorTileWood00,4994,BH8PqRSou2XjQ8ppQ,Beige
artsy parquet flooring,No,No,1800,450,Beige,Beige,,Nook's Cranny,,1.0.0,facility,shop,,Simple Parquet,For sale,RoomTexFloorParquetArt00,5232,fbfCzw546bWEF95Aq,Beige
backyard lawn,No,Yes,NFS,600,Green,Green,,Crafting,,1.0.0,garden,,,Grassland,Not for sale,RoomTexFloorLawn00,4979,kANgKb2s4a6pMSjnd,Green
bamboo flooring,No,Yes,NFS,2400,Green,Beige,,Crafting,,1.0.0,zen-style,,bamboo,Nature - Green,Not for sale,RoomTexFloorBamboo00,4964,gMeLjZdPobbrt58sT,Beige
basement flooring,No,Yes,NFS,1500,Gray,Gray,,Crafting,,1.0.0,horror,facility,,Stone Floors,Not for sale,RoomTexFloorBasement00,4797,DgaMSqGEyko87dD3H,Gray
beige desert-tile flooring,No,No,2100,525,Beige,White,,Nook's Cranny,,1.0.0,bathroom,facility,,Morocco,For sale,RoomTexFloorMorocco00,4965,yhH3pNWq8L8j48tHW,Beige
berry-chocolates flooring,No,No,3000,750,Pink,Pink,,Saharah,,1.0.0,fancy,,,Chocolate,Not for sale,RoomTexFloorChocolate02,5053,E7Mfi6saTnBEgW6o8,Saharah
birch flooring,No,No,800,200,White,White,,Nook's Cranny,,1.0.0,living room,child's room,,Wood Floors,For sale,RoomTexFloorBirch00,5032,2tg7thFuaxAAiDTsv,White
black iron-parquet flooring,No,No,2350,587,Black,White,,Nook's Cranny,,1.0.0,expensive,living room,,Iron Parquet,For sale,RoomTexFloorParquetIron02,5066,24iNYeWLqkR2juaqx,Black
black-brick flooring,No,No,1040,260,Black,Black,,Nook's Cranny,,1.0.0,facility,shop,,Brick,For sale,RoomTexFloorBrick02,4976,9KuQFNKWxmCH4Wmvh,Black
blue camo flooring,No,No,1320,330,Blue,Blue,,Nook's Cranny,,1.0.0,party,child's room,,Camouflage,For sale,RoomTexFloorCamouflage01,5016,bGQTqfoWhW5TNdLM9,Camouflage
