student_id,student_name,study_hours_without_mobile_usage,average_score_percentage
S0001,Student_1,9.3,88
S0002,Student_2,5.7,70
S0003,Student_3,8.6,85
S0004,Student_4,4.6,60
S0005,Student_5,6.0,71
S0006,Student_6,5.6,69
S0007,Student_7,5.8,74
S0008,Student_8,8.2,84
S0009,Student_9,5.4,69
S0010,Student_10,5.6,71
S0011,Student_11,8.0,78
S0012,Student_12,3.0,53
S0013,Student_13,2.9,53
S0014,Student_14,1.8,50
S0015,Student_15,5.5,63
S0016,Student_16,5.3,69
S0017,Student_17,1.0,37
S0018,Student_18,6.6,74
S0019,Student_19,7.6,79
S0020,Student_20,3.6,53
S0021,Student_21,2.6,50
S0022,Student_22,6.5,70
S0023,Student_23,3.1,55
S0024,Student_24,7.0,73
S0025,Student_25,0.6,38
S0026,Student_26,9.3,89
S0027,Student_27,1.1,43
S0028,Student_28,7.4,84
S0029,Student_29,4.7,63
S0030,Student_30,6.2,72
S0031,Student_31,9.4,95
S0032,Student_32,2.5,47
S0033,Student_33,2.9,56
S0034,Student_34,7.4,79
S0035,Student_35,9.3,85
S0036,Student_36,5.6,71
S0037,Student_37,8.9,90
S0038,Student_38,5.0,61
S0039,Student_39,9.0,85
S0040,Student_40,7.8,80
S0041,Student_41,2.5,53
S0042,Student_42,8.7,86
S0043,Student_43,5.8,67
S0044,Student_44,9.0,89
S0045,Student_45,0.9,35
S0046,Student_46,4.5,65
S0047,Student_47,8.4,81
S0048,Student_48,4.8,63
S0049,Student_49,9.4,94
S0050,Student_50,5.0,68
S0051,Student_51,6.1,68
S0052,Student_52,6.0,69
S0053,Student_53,7.0,73
S0054,Student_54,3.3,50
S0055,Student_55,6.2,71
S0056,Student_56,6.2,76
S0057,Student_57,5.0,69
S0058,Student_58,0.8,36
S0059,Student_59,0.5,38
S0060,Student_60,7.1,75
S0061,Student_61,0.9,38
S0062,Student_62,1.4,40
S0063,Student_63,9.9,93
S0064,Student_64,0.9,42
S0065,Student_65,1.8,50
S0066,Student_66,9.8,95
S0067,Student_67,8.9,93
S0068,Student_68,5.6,64
S0069,Student_69,5.6,72
S0070,Student_70,1.1,37
S0071,Student_71,7.7,79
S0072,Student_72,7.5,84
S0073,Student_73,3.2,50
S0074,Student_74,5.2,64
S0075,Student_75,9.4,91
S0076,Student_76,5.1,62
S0077,Student_77,6.2,67
S0078,Student_78,2.8,55
S0079,Student_79,3.3,54
S0080,Student_80,9.0,91
S0081,Student_81,9.9,93
S0082,Student_82,1.7,45
S0083,Student_83,4.1,55
S0084,Student_84,2.1,46
S0085,Student_85,6.6,70
S0086,Student_86,4.5,66
S0087,Student_87,9.7,95
S0088,Student_88,7.3,83
S0089,Student_89,6.3,69
S0090,Student_90,8.5,89
S0091,Student_91,3.0,51
S0092,Student_92,5.0,60
S0093,Student_93,7.1,74
S0094,Student_94,7.4,84
S0095,Student_95,2.6,50
S0096,Student_96,4.8,68
S0097,Student_97,8.3,80
S0098,Student_98,6.2,69
S0099,Student_99,8.7,85
S0100,Student_100,7.5,77
S0101,Student_101,10.0,94
S0102,Student_102,9.5,93
S0103,Student_103,5.1,67
S0104,Student_104,4.0,61
S0105,Student_105,7.4,79
S0106,Student_106,2.3,47
S0107,Student_107,4.5,57
S0108,Student_108,3.7,61
S0109,Student_109,1.9,45
S0110,Student_110,6.9,77
S0111,Student_111,0.7,36
S0112,Student_112,9.9,97
S0113,Student_113,2.0,45
S0114,Student_114,1.3,39
S0115,Student_115,8.2,82
S0116,Student_116,8.2,82
S0117,Student_117,2.0,51
S0118,Student_118,1.1,38
S0119,Student_119,7.2,76
S0120,Student_120,9.2,86
S0121,Student_121,4.4,58
S0122,Student_122,7.9,78
S0123,Student_123,3.7,57
S0124,Student_124,4.8,65
S0125,Student_125,7.5,83
S0126,Student_126,8.2,88
S0127,Student_127,0.9,35
S0128,Student_128,1.8,48
S0129,Student_129,9.9,96
S0130,Student_130,6.6,72
S0131,Student_131,1.4,41
S0132,Student_132,7.3,82
S0133,Student_133,8.0,82
S0134,Student_134,3.8,54
S0135,Student_135,6.1,74
S0136,Student_136,5.2,62
S0137,Student_137,9.7,91
S0138,Student_138,2.9,54
S0139,Student_139,1.8,45
S0140,Student_140,5.4,71
S0141,Student_141,0.8,42
S0142,Student_142,2.5,46
S0143,Student_143,1.9,45
S0144,Student_144,2.8,56
S0145,Student_145,7.2,77
S0146,Student_146,1.0,41
S0147,Student_147,1.3,46
S0148,Student_148,7.2,82
S0149,Student_149,4.4,61
S0150,Student_150,6.2,69
S0151,Student_151,4.2,61
S0152,Student_152,3.6,55
S0153,Student_153,6.2,73
S0154,Student_154,1.0,37
S0155,Student_155,0.9,39
S0156,Student_156,5.2,68
S0157,Student_157,5.1,67
S0158,Student_158,8.9,89
S0159,Student_159,0.5,35
S0160,Student_160,6.1,75
S0161,Student_161,10.0,94
S0162,Student_162,0.7,35
S0163,Student_163,4.1,56
S0164,Student_164,9.4,89
S0165,Student_165,0.6,36
S0166,Student_166,3.4,51
S0167,Student_167,7.8,81
S0168,Student_168,0.7,43
S0169,Student_169,7.6,79
S0170,Student_170,3.3,53
S0171,Student_171,6.9,76
S0172,Student_172,6.9,75
S0173,Student_173,9.0,87
S0174,Student_174,5.0,67
S0175,Student_175,2.4,48
S0176,Student_176,2.5,45
S0177,Student_177,6.3,77
S0178,Student_178,3.3,51
S0179,Student_179,9.8,92
S0180,Student_180,1.6,46
S0181,Student_181,9.2,90
S0182,Student_182,4.5,62
S0183,Student_183,4.6,63
S0184,Student_184,3.4,51
S0185,Student_185,4.7,64
S0186,Student_186,5.1,65
S0187,Student_187,0.8,42
S0188,Student_188,6.3,67
S0189,Student_189,8.0,87
S0190,Student_190,9.7,88
S0191,Student_191,7.6,83
S0192,Student_192,2.9,50
S0193,Student_193,1.3,41
S0194,Student_194,5.1,65
S0195,Student_195,2.6,49
S0196,Student_196,7.0,81
S0197,Student_197,1.6,39
S0198,Student_198,5.3,62
S0199,Student_199,7.1,73
S0200,Student_200,8.9,85
S0201,Student_201,9.5,95
S0202,Student_202,3.1,54
S0203,Student_203,5.9,66
S0204,Student_204,2.7,48
S0205,Student_205,4.1,62
S0206,Student_206,7.2,78
S0207,Student_207,1.8,47
S0208,Student_208,3.0,48
S0209,Student_209,2.3,53
S0210,Student_210,9.8,92
S0211,Student_211,8.4,87
S0212,Student_212,2.1,45
S0213,Student_213,6.3,69
S0214,Student_214,7.5,80
S0215,Student_215,6.6,73
S0216,Student_216,2.9,48
S0217,Student_217,3.7,61
S0218,Student_218,2.9,48
S0219,Student_219,8.6,90
S0220,Student_220,9.7,95
S0221,Student_221,3.5,54
S0222,Student_222,10.0,93
S0223,Student_223,1.6,45
S0224,Student_224,3.4,52
S0225,Student_225,9.3,85
S0226,Student_226,3.1,53
S0227,Student_227,0.7,41
S0228,Student_228,2.7,46
S0229,Student_229,1.4,40
S0230,Student_230,2.9,49
S0231,Student_231,5.0,68
S0232,Student_232,4.8,68
S0233,Student_233,4.2,57
S0234,Student_234,5.5,68
S0235,Student_235,9.0,86
S0236,Student_236,9.4,93
S0237,Student_237,5.1,62
S0238,Student_238,5.2,67
S0239,Student_239,6.5,74
S0240,Student_240,2.5,48
S0241,Student_241,4.6,61
S0242,Student_242,1.7,46
S0243,Student_243,7.2,80
S0244,Student_244,5.3,63
S0245,Student_245,3.9,55
S0246,Student_246,1.4,38
S0247,Student_247,9.5,92
S0248,Student_248,9.5,87
S0249,Student_249,0.6,40
S0250,Student_250,7.2,75
S0251,Student_251,9.0,89
S0252,Student_252,8.4,85
S0253,Student_253,1.0,37
S0254,Student_254,1.0,42
S0255,Student_255,2.0,50
S0256,Student_256,9.3,86
S0257,Student_257,8.1,83
S0258,Student_258,2.6,46
S0259,Student_259,7.5,76
S0260,Student_260,8.0,85
S0261,Student_261,0.9,39
S0262,Student_262,5.6,71
S0263,Student_263,0.7,39
S0264,Student_264,4.6,64
S0265,Student_265,5.9,70
S0266,Student_266,8.5,89
